Bangladesh;BGD;0;0;0;0;0;0;0;0;0;0;0;0;3509;4554;4661;4870;5570;5812;6018;6648;7638;7932;8599;8236;9123;10235;11463;11863;13546;13454;15533;15940;17748;17407;18969;22816;24030;25064;24048;25236;27869;32457;33707;35673;37704;39479;43542;44382;49512;53736;59937;63413;67506;69710;73190
Bulgaria;BGR;22295;25973;30737;34411;42864;46318;48767;55166;59526;66376;61239;64301;66171;68826;71261;73061;73116;75969;81411;79152;77487;80344;90131;90366;87366;89541;91528;91635;87289;86739;74480;57550;54206;67862;54162;58005;56560;51617;48998;43982;43531;46454;44635;47308;46802;47917;48991;52255;50740;42666;44114;49347;44708;39600;42416
Bahrain;BHR;576;1771;1591;1195;1599;1228;649;1005;1104;1272;2593;3040;3682;5523;5405;5754;6575;7470;7767;8133;7888;8526;9839;8229;9208;10194;11012;11430;12163;11738;12427;11877;10902;14642;14789;14818;15621;17319;18405;18020;18643;13927;15698;16468;17510;19208;18830;26846;29769;28218;29266;28650;26674;31313;31338
Bahamas, The;BHS;411;546;726;708;1085;1316;1093;1705;1632;1745;2574;6733;6491;7873;7389;8254;6465;9718;6608;6931;7990;2802;2263;2017;1856;1511;1412;1423;1540;1947;1951;1782;1793;1701;1687;1683;1668;1364;1679;1676;1668;1569;1577;1518;1723;1742;1665;1690;1496;1643;1654;1867;1969;2802;2417
Bosnia and Herzegovina;BIH;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15053;12603;3231;3429;4257;8394;10594;10378;13788;13363;14301;14488;15610;16204;17565;17653;20154;20704;21276;23887;22259;21921;22233
Belarus;BLR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87418;76769;65056;60773;60164;59556;58100;56112;53788;52761;52405;53531;58159;59167;62071;60524;63105;61221;63043;64062;63223;63769;63498
Belize;BLZ;44;37;70;62;84;84;81;121;103;136;121;143;158;147;154;176;176;198;216;209;191;183;172;172;172;191;205;227;249;301;312;359;356;378;374;378;308;389;370;348;396;447;433;433;392;422;444;477;436;587;539;601;477;513;495
Bermuda;BMU;158;176;158;150;202;180;202;213;224;198;227;231;253;425;444;458;469;455;425;462;436;389;396;451;444;451;422;572;645;781;502;539;462;539;532;532;528;524;521;513;517;528;557;561;583;583;653;730;649;477;609;444;477;458;576
Bolivia;BOL;1005;1041;1100;1214;1481;1511;1690;1892;2178;2549;2486;3062;3572;3458;3517;4059;4580;4481;5027;4738;4668;4793;4349;4290;4041;4125;3777;4030;4309;4994;5757;6007;6656;7829;8636;9850;9828;10942;10990;10444;11067;8621;10396;11093;11115;12185;15057;12332;13238;13990;15203;16146;18793;18918;20411
Brazil;BRA;46908;49204;53696;55617;56736;56398;64305;66193;77421;84315;93762;102636;114363;132463;143457;151165;155154;162961;176925;188322;187090;171806;172177;166632;168807;181249;198883;207530;209364;214024;208887;219331;220706;230739;242154;258347;284783;300547;312289;320173;327984;337434;332267;321622;337826;347309;347668;363213;387631;367147;419754;439413;470029;503677;529808
